invoice_no,cancellation_date,customer_id,country,cancelled_lines,cancelled_products,cancelled_units,cancellation_value
C581484,2011-12-09 09:27:00,16446,United Kingdom,1,1,80995,168469.6
C541433,2011-01-18 10:17:00,12346,United Kingdom,1,1,74215,77183.6
C550456,2011-04-18 13:08:00,15749,United Kingdom,5,5,9014,22998.4
C524235,2010-09-28 11:02:00,14277,France,45,45,87167,11880.84
C570556,2011-10-11 11:10:00,16029,United Kingdom,9,8,4896,9466.56
C513771,2010-06-28 13:49:00,16754,United Kingdom,14,14,6584,7500.32
C529352,2010-10-28 09:32:00,17450,United Kingdom,9,9,2760,6325.08
C508132,2010-05-13 10:54:00,12931,United Kingdom,11,11,3564,4815.8
C508134,2010-05-13 10:56:00,12931,United Kingdom,11,11,3560,4798.8
C527790,2010-10-19 11:12:00,12454,Spain,8,8,2232,4733.52
C562375,2011-08-04 14:46:00,14911,EIRE,31,31,2270,4345.1
C531557,2010-11-09 10:06:00,12454,Spain,8,8,2232,4098.96
C565044,2011-08-31 17:02:00,12931,United Kingdom,7,7,1161,3969.9300000000003
C567527,2011-09-21 09:16:00,17450,United Kingdom,1,1,756,3825.36
C524154,2010-09-27 15:58:00,14911,EIRE,21,21,1996,3726.6800000000003
C498151,2010-02-17 10:37:00,13902,Denmark,1,1,2504,3630.8
C511172,2010-06-07 12:05:00,14028,United Kingdom,3,3,2490,3610.5
C571499,2011-10-17 15:07:00,12454,Spain,15,15,1006,3528.34
C564940,2011-08-31 13:10:00,12931,United Kingdom,9,9,2518,3491.02
C490133,2009-12-03 18:36:00,17949,United Kingdom,5,3,2106,3341.46
C534717,2010-11-23 17:47:00,16684,United Kingdom,13,13,1812,3013.0
C515299,2010-07-09 15:26:00,13734,United Kingdom,1,1,85,2970.7500000000005
C572343,2011-10-24 10:40:00,14607,United Kingdom,9,9,2344,2949.2799999999997
C569743,2011-10-06 10:57:00,15769,United Kingdom,15,15,1600,2924.0
C536164,2010-11-30 12:09:00,15369,United Kingdom,40,40,1500,2904.83
C545033,2011-02-25 16:26:00,14156,EIRE,6,6,672,2548.8
C508140,2010-05-13 10:58:00,12931,United Kingdom,11,11,1796,2532.82
C575224,2011-11-09 11:41:00,17511,United Kingdom,14,14,1400,2506.0
C534845,2010-11-24 13:25:00,14646,Netherlands,16,16,1210,2269.08
C563577,2011-08-17 15:06:00,17949,United Kingdom,3,3,2105,2231.3
C578363,2011-11-24 10:40:00,15482,United Kingdom,12,12,948,2210.64
C572334,2011-10-24 10:25:00,14607,United Kingdom,18,18,1416,2199.12
C570552,2011-10-11 11:01:00,16029,United Kingdom,7,7,1164,2076.0
C513994,2010-06-30 08:48:00,16754,United Kingdom,3,3,1236,1740.24
C508455,2010-05-14 16:38:00,16077,United Kingdom,1,1,312,1700.4
C574584,2011-11-04 18:11:00,15482,United Kingdom,9,9,786,1652.8
C520205,2010-08-24 16:11:00,17133,United Kingdom,7,7,1088,1650.24
C564081,2011-08-22 17:10:00,17949,United Kingdom,1,1,150,1642.5
C530185,2010-11-02 10:52:00,17389,United Kingdom,1,1,148,1620.6
C548731,2011-04-04 10:12:00,12755,Japan,1,1,624,1591.1999999999998
C570867,2011-10-12 16:17:00,12607,USA,101,101,1228,1579.51
C529612,2010-10-29 10:44:00,14543,United Kingdom,5,5,440,1543.2
C540417,2011-01-07 10:56:00,13680,United Kingdom,21,21,669,1520.11
C539329,2010-12-17 09:37:00,16013,United Kingdom,2,2,800,1491.0
C569387,2011-10-03 16:49:00,14031,United Kingdom,1,1,200,1416.0
C518284,2010-08-06 11:06:00,14045,United Kingdom,2,2,292,1339.6
C567706,2011-09-22 09:46:00,15769,United Kingdom,1,1,312,1326.0
C576831,2011-11-16 14:56:00,12748,United Kingdom,7,7,1082,1301.0
C498595,2010-02-21 15:51:00,18102,United Kingdom,2,2,432,1296.0
C517258,2010-07-27 16:54:00,18102,United Kingdom,2,2,280,1282.4
C524158,2010-09-27 16:05:00,14911,EIRE,13,13,672,1251.2
C542426,2011-01-28 09:32:00,14146,United Kingdom,35,35,551,1241.43
C490946,2009-12-08 14:28:00,13091,United Kingdom,37,37,1204,1213.02
C490807,2009-12-08 12:25:00,13091,United Kingdom,37,37,1204,1213.02
C578097,2011-11-22 17:31:00,,United Kingdom,7,7,324,1208.04
C536850,2010-12-03 09:47:00,14213,United Kingdom,5,5,244,1192.2
C534675,2010-11-23 14:29:00,13089,United Kingdom,2,2,192,1190.3999999999999
C538847,2010-12-14 13:27:00,17404,Sweden,1,1,240,1188.0
C504841,2010-04-16 15:55:00,13694,United Kingdom,3,3,514,1174.3
C548532,2011-03-31 17:16:00,14031,United Kingdom,5,5,216,1170.0
C556925,2011-06-15 14:23:00,16013,United Kingdom,1,1,420,1155.0
C568879,2011-09-29 12:38:00,14680,United Kingdom,26,26,739,1146.07
C569989,2011-10-06 20:08:00,16839,United Kingdom,26,26,478,1145.83
C538341,2010-12-10 14:03:00,15514,United Kingdom,30,23,290,1076.3200000000002
C557663,2011-06-21 17:59:00,,EIRE,36,35,538,1051.14
C560735,2011-07-20 14:59:00,16013,United Kingdom,1,1,360,990.0
C515972,2010-07-16 07:54:00,14156,EIRE,1,1,264,990.0
C560733,2011-07-20 14:55:00,15298,United Kingdom,1,1,360,990.0
C568832,2011-09-29 11:35:00,17450,United Kingdom,1,1,186,957.9
