cohort_month,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18,month_19,month_20,month_21,month_22,month_23,month_24
2009-12,951.0,333.0,317.0,404.0,360.0,342.0,358.0,327.0,321.0,344.0,401.0,472.0,358.0,268.0,232.0,288.0,250.0,288.0,270.0,246.0,242.0,298.0,289.0,386.0
2010-01,368.0,79.0,118.0,116.0,100.0,114.0,99.0,86.0,105.0,120.0,114.0,66.0,84.0,66.0,72.0,56.0,90.0,75.0,71.0,74.0,93.0,73.0,93.0,
2010-02,375.0,88.0,85.0,110.0,92.0,74.0,72.0,108.0,96.0,104.0,43.0,47.0,57.0,66.0,46.0,75.0,60.0,61.0,54.0,86.0,86.0,62.0,,
2010-03,441.0,84.0,102.0,107.0,102.0,90.0,109.0,135.0,122.0,48.0,51.0,64.0,88.0,72.0,88.0,75.0,77.0,69.0,78.0,90.0,94.0,,,
2010-04,294.0,56.0,56.0,47.0,54.0,65.0,81.0,78.0,31.0,32.0,22.0,41.0,42.0,46.0,46.0,46.0,41.0,44.0,53.0,67.0,,,,
2010-05,255.0,40.0,43.0,45.0,45.0,65.0,54.0,32.0,15.0,21.0,29.0,34.0,39.0,39.0,25.0,32.0,35.0,42.0,39.0,,,,,
2010-06,267.0,47.0,50.0,55.0,62.0,76.0,34.0,24.0,22.0,30.0,28.0,37.0,40.0,33.0,30.0,33.0,35.0,54.0,,,,,,
2010-07,185.0,29.0,34.0,55.0,54.0,26.0,21.0,27.0,27.0,21.0,25.0,27.0,24.0,25.0,36.0,32.0,44.0,,,,,,,
2010-08,163.0,32.0,47.0,53.0,27.0,19.0,16.0,21.0,22.0,21.0,21.0,19.0,24.0,28.0,28.0,32.0,,,,,,,,
2010-09,239.0,55.0,56.0,31.0,21.0,25.0,33.0,23.0,31.0,31.0,29.0,24.0,54.0,40.0,40.0,,,,,,,,,
2010-10,375.0,97.0,55.0,47.0,33.0,31.0,49.0,52.0,40.0,35.0,40.0,48.0,72.0,87.0,,,,,,,,,,
2010-11,326.0,57.0,31.0,31.0,25.0,29.0,42.0,33.0,28.0,30.0,36.0,48.0,82.0,,,,,,,,,,,
2010-12,76.0,7.0,4.0,7.0,9.0,5.0,4.0,7.0,4.0,2.0,7.0,15.0,,,,,,,,,,,,
2011-01,72.0,12.0,16.0,14.0,16.0,11.0,11.0,9.0,8.0,15.0,18.0,,,,,,,,,,,,,
2011-02,125.0,20.0,20.0,23.0,27.0,20.0,20.0,19.0,19.0,23.0,,,,,,,,,,,,,,
2011-03,179.0,32.0,39.0,36.0,40.0,27.0,37.0,36.0,43.0,,,,,,,,,,,,,,,
2011-04,106.0,26.0,21.0,21.0,19.0,25.0,19.0,27.0,,,,,,,,,,,,,,,,
2011-05,111.0,26.0,27.0,18.0,24.0,23.0,29.0,,,,,,,,,,,,,,,,,
2011-06,108.0,25.0,23.0,29.0,22.0,30.0,,,,,,,,,,,,,,,,,,
2011-07,101.0,21.0,30.0,28.0,35.0,,,,,,,,,,,,,,,,,,,
2011-08,107.0,28.0,32.0,28.0,,,,,,,,,,,,,,,,,,,,
2011-09,188.0,51.0,71.0,,,,,,,,,,,,,,,,,,,,,
2011-10,221.0,70.0,,,,,,,,,,,,,,,,,,,,,,
2011-11,191.0,,,,,,,,,,,,,,,,,,,,,,,
