country,gross_sales,cancellation_value,estimated_net_revenue,sales_invoices,units_sold,known_customers,net_revenue_share_pct,cancellation_rate_pct
United Kingdom,16762049.386,632113.4400000001,16129935.946,36183,9176130,5334,85.39585737270566,3.7710987806058722
EIRE,623414.16,20297.55,603116.61,581,336088,3,3.1930480182372913,3.255869260332489
Netherlands,549773.41,3677.98,546095.43,216,383625,22,2.8911638340219836,0.668999251891793
Germany,383289.001,8715.49,374573.511,753,223089,107,1.9830845099469803,2.273869058924548
France,311090.29,17659.09,293431.2,598,270582,93,1.553497111692862,5.676515972260016
Australia,167800.01,1517.8600000000001,166282.15,89,103753,15,0.8803386952412667,0.9045649043763466
Switzerland,94024.59,1106.53,92918.06,85,52612,22,0.4919311165073927,1.1768517150673032
Spain,97766.75,12955.19,84811.56,144,49996,38,0.44901330703131037,13.251120651959894
Sweden,86319.14,1973.97,84345.17,99,88537,19,0.4465441233932977,2.286827695456651
Denmark,67422.69,4067.1,63355.590000000004,42,237406,12,0.3354201123622749,6.032242261470136
Belgium,56993.17,394.28,56598.89,143,34347,29,0.2996484768491626,0.6918021931399849
Portugal,47338.270000000004,630.28,46707.99,85,27535,23,0.24728361386921047,1.3314386013684063
Channel Islands,44030.33,2188.52,41841.81,54,21389,13,0.22152085730147816,4.970482846710437
Japan,43023.91,3277.14,39746.77,33,31643,10,0.21042919905627108,7.617020396333107
Norway,38575.36,161.68,38413.68,39,23556,12,0.20337149195277754,0.41912765039652256
Italy,28937.5,710.7,28226.8,59,15235,17,0.14943963788558295,2.4559827213822896
Finland,25180.1,90.44,25089.66,54,14265,13,0.13283084533395195,0.3591725211575808
Cyprus,24484.260000000002,496.7,23987.56,35,10946,11,0.1269960562358714,2.0286502430541087
Austria,20297.010000000002,225.41,20071.6,40,11499,13,0.10626399860360602,1.1105576634193903
Greece,18711.19,50.7,18660.49,18,7716,5,0.09879323438602827,0.27096085283725946
Hong Kong,13666.45,10.95,13655.5,9,7014,0,0.0722955834577982,0.08012322146570616
Singapore,13158.16,0.0,13158.16,8,6987,1,0.06966254288975592,0.0
Israel,11328.81,227.44,11101.37,10,5538,4,0.058773389574229964,2.007624807901271
Unspecified,10927.16,22.0,10905.16,24,6729,6,0.05773460546304732,0.20133319178999848
Poland,10214.29,374.36,9839.93,28,5677,6,0.05209501523443977,3.6650613992749372
United Arab Emirates,10273.23,645.08,9628.15,12,7316,4,0.05097379970482221,6.279232529593906
USA,7920.01,2080.32,5839.69,16,5259,8,0.03091675850482732,26.26663350172538
Iceland,4921.53,0.0,4921.53,8,2967,1,0.026055793113035595,0.0
Lithuania,4892.68,0.0,4892.68,6,2306,1,0.02590305410071401,0.0
Malta,4757.34,90.12,4667.22,7,2505,2,0.024709413278598727,1.894335910403713
Canada,4332.1,0.0,4332.1,7,3656,5,0.022935205382265577,0.0
RSA,3369.03,0.0,3369.03,3,1969,2,0.017836475378918817,0.0
Thailand,3070.54,0.0,3070.54,2,2552,1,0.01625619573289207,0.0
Bahrain,3109.79,248.24,2861.55,10,1339,2,0.015149751151086554,7.982532582585963
Lebanon,1905.58,0.0,1905.58,2,458,1,0.010088610298085832,0.0
Brazil,1411.8700000000001,0.0,1411.8700000000001,2,545,2,0.007474787844938784,0.0
Bermuda,1253.1399999999999,0.0,1253.1399999999999,1,2798,0,0.006634432093611016,0.0
European Community,1159.25,8.5,1150.75,3,490,1,0.00609235419164888,0.7332326935518654
Korea,1118.51,168.69,949.82,2,700,2,0.0050285812368559115,15.081671151800164
Czech Republic,786.74,115.02,671.72,2,670,1,0.0035562512775271656,14.61982357576836
West Indies,536.41,0.0,536.41,1,395,1,0.0028398867798760594,0.0
Saudi Arabia,145.92000000000002,14.75,131.17000000000002,1,80,1,0.0006944463170267944,10.108278508771928
Nigeria,112.57,147.05,-34.48,1,102,1,-0.0001825456202720429,130.62983032779604
