customer_id,first_purchase_date,last_purchase_date,sales_invoices,active_purchase_months,gross_sales,units_purchased,customer_lifetime_days,average_order_value,customer_status
12346,2010-03-02 13:08:00,2011-01-18 10:01:00,3,3,77352.96,74239,321,25784.320000000003,Repeat Customer
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,8,8,4921.53,2967,402,615.19125,Repeat Customer
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,5,1658.3999999999999,2704,362,331.67999999999995,Repeat Customer
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,3,3,3678.69,1621,570,1226.23,Repeat Customer
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,1,294.40000000000003,196,0,294.40000000000003,One-Time Customer
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,1,300.93,261,0,300.93,One-Time Customer
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,9,5,1729.54,714,356,192.17111111111112,Repeat Customer
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,2,406.76,212,204,203.38,Repeat Customer
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1,1079.4,530,0,1079.4,One-Time Customer
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,2,947.61,543,353,473.805,Repeat Customer
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,6,5,5611.7300000000005,3376,401,935.2883333333334,Repeat Customer
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,2,2,17437.66,6586,355,8718.83,Repeat Customer
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,5,5,3447.07,1068,730,689.414,Repeat Customer
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,10,8,8873.39,2739,676,887.3389999999999,Repeat Customer
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,6,6,3612.89,2443,603,602.1483333333333,Repeat Customer
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,4,4,451.25,231,394,112.8125,Repeat Customer
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,8,4737.2300000000005,2197,292,473.72300000000007,Repeat Customer
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,2,552.0,408,132,276.0,Repeat Customer
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,4,1208.1,1499,104,302.025,Repeat Customer
12365,2011-02-21 13:51:00,2011-02-21 13:51:00,1,1,320.69,173,0,320.69,One-Time Customer
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,1,500.24,296,0,500.24,One-Time Customer
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,1,150.9,172,0,150.9,One-Time Customer
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,1,917.7,330,0,917.7,One-Time Customer
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,3,3,1511.15,1234,228,503.7166666666667,Repeat Customer
12370,2010-02-09 09:41:00,2011-10-19 14:51:00,7,5,3956.56,2595,617,565.2228571428572,Repeat Customer
12371,2010-03-04 18:23:00,2011-10-11 10:43:00,4,3,3347.38,1418,585,836.845,Repeat Customer
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,3,1196.04,788,224,398.68,Repeat Customer
12373,2010-02-04 12:08:00,2011-02-01 13:10:00,3,3,927.6500000000001,511,362,309.2166666666667,Repeat Customer
12374,2010-04-30 14:01:00,2011-11-14 15:37:00,3,3,2669.2200000000003,1354,563,889.7400000000001,Repeat Customer
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,2,377.5,176,87,188.75,Repeat Customer
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,2,2,383.15,237,28,191.575,Repeat Customer
12377,2010-04-29 15:34:00,2011-01-28 15:45:00,4,4,3266.32,2101,274,816.58,Repeat Customer
12378,2010-05-26 14:07:00,2011-08-02 10:34:00,2,2,5416.32,3316,432,2708.16,Repeat Customer
12379,2010-06-23 12:49:00,2011-09-19 10:09:00,4,4,1470.22,805,452,367.555,Repeat Customer
12380,2010-02-15 12:05:00,2011-11-18 11:27:00,8,7,7210.650000000001,3314,640,901.3312500000001,Repeat Customer
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,3,3,1474.81,797,115,491.6033333333333,Repeat Customer
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,5,1628.56,1518,167,325.712,Repeat Customer
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,2,425.27000000000004,122,92,212.63500000000002,Repeat Customer
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,1,1,1668.4,594,0,1668.4,One-Time Customer
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,2,401.9,354,29,200.95,Repeat Customer
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,1,1,143.94,134,0,143.94,One-Time Customer
12388,2010-05-06 12:54:00,2011-11-24 12:30:00,8,8,3901.11,2001,566,487.63875,Repeat Customer
12389,2010-02-22 10:15:00,2010-11-02 11:52:00,3,3,1433.33,614,253,477.77666666666664,Repeat Customer
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,1,504.84000000000003,350,0,504.84000000000003,One-Time Customer
12391,2010-02-15 10:12:00,2011-11-18 12:07:00,6,4,2724.84,1204,641,454.14000000000004,Repeat Customer
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,1,1,234.75000000000003,73,0,234.75000000000003,One-Time Customer
12393,2010-10-07 13:49:00,2011-09-28 15:41:00,6,5,2399.45,1311,356,399.9083333333333,Repeat Customer
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,2,1080.48,808,153,540.24,Repeat Customer
12395,2010-04-16 10:16:00,2011-11-20 15:21:00,15,11,4241.17,3175,583,282.74466666666666,Repeat Customer
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,1,931.4300000000001,591,0,931.4300000000001,One-Time Customer
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,2,2214.9,1250,99,1107.45,Repeat Customer
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1,1435.66,1389,0,1435.66,One-Time Customer
12399,2010-03-05 08:45:00,2011-08-12 13:15:00,7,7,1842.3,2190,525,263.18571428571425,Repeat Customer
12400,2010-10-21 13:45:00,2010-10-21 13:45:00,1,1,205.25,91,0,205.25,One-Time Customer
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,1,69.3,10,0,69.3,One-Time Customer
12402,2010-02-07 12:41:00,2011-01-20 13:49:00,6,6,1136.9,576,347,189.48333333333335,Repeat Customer
12403,2010-07-06 11:39:00,2011-10-21 10:51:00,2,2,947.36,256,471,473.68,Repeat Customer
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1,1390.39,849,0,1390.39,One-Time Customer
12406,2010-01-11 14:04:00,2011-11-17 19:22:00,5,5,6390.36,3416,675,1278.072,Repeat Customer
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,5,4,1507.12,1403,214,301.424,Repeat Customer
12408,2010-07-29 13:27:00,2011-11-07 12:27:00,8,7,3905.77,2200,465,488.22125,Repeat Customer
12409,2010-05-23 15:21:00,2011-09-22 10:38:00,7,6,23419.29,13143,486,3345.612857142857,Repeat Customer
12410,2010-07-25 13:26:00,2011-02-04 10:39:00,3,2,773.71,335,193,257.90333333333336,Repeat Customer
12411,2010-10-26 09:25:00,2010-10-26 09:25:00,1,1,346.9,138,0,346.9,One-Time Customer
12412,2010-06-18 13:22:00,2011-09-26 10:16:00,6,6,2404.93,1986,464,400.82166666666666,Repeat Customer
12413,2010-11-02 13:26:00,2011-10-04 09:00:00,4,4,871.45,313,335,217.8625,Repeat Customer
12414,2010-09-02 12:22:00,2011-05-06 14:51:00,4,4,532.41,489,246,133.1025,Repeat Customer
12415,2010-06-30 08:30:00,2011-11-15 14:22:00,24,14,144033.37,91443,503,6001.390416666666,Repeat Customer
12416,2010-02-21 10:19:00,2010-02-21 10:19:00,1,1,202.56,132,0,202.56,One-Time Customer
12417,2009-12-06 10:30:00,2011-12-06 14:52:00,20,16,5998.41,2835,730,299.9205,Repeat Customer
12418,2010-03-19 14:47:00,2011-08-19 11:08:00,4,4,2021.2,1088,517,505.3,Repeat Customer
12419,2010-10-22 10:40:00,2010-11-19 10:04:00,2,2,391.01,227,27,195.505,Repeat Customer
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,1,600.39,345,0,600.39,One-Time Customer
12421,2010-07-22 13:57:00,2011-11-24 09:07:00,6,6,874.6,644,489,145.76666666666668,Repeat Customer
12422,2009-12-18 12:44:00,2011-09-05 09:48:00,12,11,3639.35,2579,625,303.27916666666664,Repeat Customer
12423,2010-08-31 09:31:00,2011-12-09 10:10:00,10,10,2301.39,1772,465,230.13899999999998,Repeat Customer
12424,2010-06-09 15:15:00,2011-06-30 12:06:00,4,3,3340.0299999999997,2025,385,835.0074999999999,Repeat Customer
12425,2010-09-17 14:10:00,2011-09-22 17:31:00,2,2,1741.41,1147,370,870.705,Repeat Customer
12426,2010-02-15 08:41:00,2011-05-29 12:26:00,2,2,1201.21,576,468,600.605,Repeat Customer
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,3,3,699.8000000000001,526,349,233.26666666666668,Repeat Customer
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,8,5,6405.26,3509,257,800.6575,Repeat Customer
12429,2010-06-11 13:28:00,2011-11-30 17:22:00,8,6,5842.41,2871,537,730.30125,Repeat Customer
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,1,216.4,116,0,216.4,One-Time Customer
12431,2010-01-15 09:04:00,2011-11-04 11:55:00,25,16,10102.220000000001,4578,658,404.08880000000005,Repeat Customer
12432,2011-06-20 13:27:00,2011-10-28 11:43:00,4,2,4359.32,1800,129,1089.83,Repeat Customer
12433,2010-08-20 09:23:00,2011-12-09 10:02:00,10,8,16794.14,13534,476,1679.414,Repeat Customer
12434,2010-11-23 13:38:00,2011-09-16 12:38:00,3,3,1103.43,532,296,367.81,Repeat Customer
12435,2009-12-02 13:58:00,2011-09-21 09:06:00,6,6,13925.93,4958,657,2320.9883333333332,Repeat Customer
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,1,429.01,209,0,429.01,One-Time Customer
12437,2009-12-02 16:24:00,2011-12-08 11:35:00,38,20,11282.4,7922,735,296.90526315789475,Repeat Customer
12438,2011-07-22 13:29:00,2011-11-25 13:28:00,2,2,2466.85,1169,125,1233.425,Repeat Customer
12439,2009-12-14 08:40:00,2010-01-26 12:11:00,2,2,1142.88,478,43,571.44,Repeat Customer
12440,2009-12-22 12:03:00,2010-09-03 13:11:00,2,2,739.2,328,255,369.6,Repeat Customer
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,1,155.55,120,0,155.55,One-Time Customer
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,1,144.06,181,0,144.06,One-Time Customer
12443,2009-12-07 15:42:00,2009-12-07 15:42:00,1,1,365.31,179,0,365.31,One-Time Customer
12444,2011-06-21 14:00:00,2011-11-18 13:23:00,5,5,4085.46,1130,149,817.092,Repeat Customer
12445,2010-10-15 12:28:00,2011-11-17 18:43:00,2,2,378.98,204,398,189.49,Repeat Customer
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1,1002.3100000000001,351,0,1002.3100000000001,One-Time Customer
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,1,431.49,187,0,431.49,One-Time Customer
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,1,365.45,240,0,365.45,One-Time Customer
12449,2010-09-27 09:37:00,2011-11-17 13:46:00,5,5,4274.89,2247,416,854.9780000000001,Repeat Customer
12450,2010-08-22 13:11:00,2011-07-06 14:41:00,5,5,688.2,442,318,137.64000000000001,Repeat Customer
12451,2010-06-28 12:58:00,2011-11-29 08:40:00,8,6,12629.88,9358,518,1578.735,Repeat Customer
