customer_id,primary_country,first_purchase_date,last_purchase_date,recency_days,tenure_days,frequency,purchase_rows,units_purchased,distinct_products,gross_monetary_value,cancellation_invoices,cancellation_value,cancelled_units,net_monetary_value,average_order_value,cancellation_rate_pct,r_score,f_score,m_score,rfm_total_score,rfm_code,customer_segment
12346,United Kingdom,2010-03-02 13:08:00,2011-01-18 10:01:00,325,647,3,25,74239,25,77352.96,1,77183.6,74215,169.36000000000058,25784.320000000003,99.78105556658724,2,3,1,6,231,At Risk
12347,Iceland,2010-10-31 14:20:00,2011-12-07 15:52:00,2,404,8,222,2967,126,4921.53,0,0.0,0,4921.53,615.19125,0.0,5,4,5,14,545,Champions
12348,Finland,2010-09-27 14:59:00,2011-09-25 13:13:00,75,438,5,46,2704,24,1658.3999999999999,0,0.0,0,1658.3999999999999,331.67999999999995,0.0,4,4,4,12,444,Champions
12349,Italy,2010-04-29 13:20:00,2011-11-21 09:51:00,18,589,3,172,1621,137,3678.69,1,24.15,5,3654.54,1226.23,0.6564836939236521,5,3,5,13,535,Potential Loyalists
12350,Norway,2011-02-02 16:01:00,2011-02-02 16:01:00,310,310,1,16,196,16,294.40000000000003,0,0.0,0,294.40000000000003,294.40000000000003,0.0,2,1,2,5,212,Hibernating
12351,Unspecified,2010-11-29 15:23:00,2010-11-29 15:23:00,375,375,1,21,261,21,300.93,0,0.0,0,300.93,300.93,0.0,1,1,2,4,112,Hibernating
12352,Norway,2010-11-12 10:20:00,2011-11-03 14:37:00,36,392,9,95,714,68,1729.54,1,120.33000000000001,63,1609.21,192.17111111111112,6.9573412583692775,4,4,4,12,444,Champions
12353,Bahrain,2010-10-27 12:44:00,2011-05-19 17:47:00,204,408,2,24,212,23,406.76,0,0.0,0,406.76,203.38,0.0,2,2,2,6,222,Hibernating
12354,Spain,2011-04-21 13:11:00,2011-04-21 13:11:00,232,232,1,58,530,58,1079.4,0,0.0,0,1079.4,1079.4,0.0,2,1,3,6,213,Hibernating
12355,Bahrain,2010-05-21 11:59:00,2011-05-09 13:49:00,214,567,2,35,543,35,947.61,0,0.0,0,947.61,473.805,0.0,2,2,3,7,223,Hibernating
12356,Portugal,2010-10-11 09:42:00,2011-11-17 08:40:00,22,424,6,139,3376,103,5611.7300000000005,0,0.0,0,5611.7300000000005,935.2883333333334,0.0,5,4,5,14,545,Champions
12357,Switzerland,2010-11-16 10:05:00,2011-11-06 16:07:00,33,388,2,295,6586,260,17437.66,0,0.0,0,17437.66,8718.83,0.0,4,2,5,11,425,Potential Loyalists
12358,Austria,2009-12-08 07:59:00,2011-12-08 10:26:00,1,731,5,74,1068,55,3447.07,0,0.0,0,3447.07,689.414,0.0,5,4,5,14,545,Champions
12359,Cyprus,2009-12-05 13:32:00,2011-10-13 12:47:00,57,734,10,362,2739,305,8873.39,4,221.05,226,8652.34,887.3389999999999,2.4911561421283186,4,4,5,13,445,Champions
12360,Austria,2010-02-22 09:32:00,2011-10-18 15:22:00,52,655,6,211,2443,159,3612.89,0,0.0,0,3612.89,602.1483333333333,0.0,4,4,5,13,445,Champions
12361,Belgium,2010-01-26 14:37:00,2011-02-25 13:51:00,287,682,4,25,231,17,451.25,0,0.0,0,451.25,112.8125,0.0,2,3,2,7,232,At Risk
12362,Belgium,2011-02-17 10:30:00,2011-12-06 15:40:00,3,295,10,256,2197,200,4737.2300000000005,3,71.65,17,4665.580000000001,473.72300000000007,1.5124872552103232,5,4,5,14,545,Champions
12363,Unspecified,2011-04-11 13:29:00,2011-08-22 10:18:00,109,242,2,23,408,23,552.0,0,0.0,0,552.0,276.0,0.0,3,2,2,7,322,Need Attention
12364,Belgium,2011-08-19 15:24:00,2011-12-02 10:22:00,7,112,4,81,1499,69,1208.1,0,0.0,0,1208.1,302.025,0.0,5,3,4,12,534,Potential Loyalists
12365,Cyprus,2011-02-21 13:51:00,2011-02-21 13:51:00,291,291,1,21,173,21,320.69,0,0.0,0,320.69,320.69,0.0,2,1,2,5,212,Hibernating
12366,Cyprus,2010-03-16 10:28:00,2010-03-16 10:28:00,633,633,1,3,296,3,500.24,0,0.0,0,500.24,500.24,0.0,1,1,2,4,112,Hibernating
12367,Denmark,2011-12-05 16:48:00,2011-12-05 16:48:00,4,4,1,10,172,10,150.9,0,0.0,0,150.9,150.9,0.0,5,1,1,7,511,New Customers
12368,Cyprus,2010-03-21 15:56:00,2010-03-21 15:56:00,628,628,1,18,330,18,917.7,0,0.0,0,917.7,917.7,0.0,1,1,3,5,113,Hibernating
12369,Austria,2010-03-08 08:09:00,2010-10-22 13:13:00,413,641,3,90,1234,89,1511.15,0,0.0,0,1511.15,503.7166666666667,0.0,1,3,4,8,134,At Risk
12370,Austria,2010-02-09 09:41:00,2011-10-19 14:51:00,51,668,7,197,2595,167,3956.56,0,0.0,0,3956.56,565.2228571428572,0.0,4,4,5,13,445,Champions
12371,Switzerland,2010-03-04 18:23:00,2011-10-11 10:43:00,59,645,4,163,1418,133,3347.38,0,0.0,0,3347.38,836.845,0.0,4,3,5,12,435,Potential Loyalists
12372,Denmark,2011-02-16 12:46:00,2011-09-29 12:12:00,71,296,3,49,788,33,1196.04,0,0.0,0,1196.04,398.68,0.0,4,3,4,11,434,Potential Loyalists
12373,Austria,2010-02-04 12:08:00,2011-02-01 13:10:00,311,673,3,48,511,35,927.6500000000001,0,0.0,0,927.6500000000001,309.2166666666667,0.0,2,3,3,8,233,At Risk
12374,Austria,2010-04-30 14:01:00,2011-11-14 15:37:00,25,588,3,81,1354,78,2669.2200000000003,0,0.0,0,2669.2200000000003,889.7400000000001,0.0,5,3,4,12,534,Potential Loyalists
12375,Finland,2011-09-02 14:23:00,2011-11-29 10:36:00,10,98,2,15,176,13,377.5,1,2.08,1,375.42,188.75,0.5509933774834437,5,2,2,9,522,Potential Loyalists
12376,Switzerland,2010-10-18 08:42:00,2010-11-15 12:15:00,389,417,2,11,237,10,383.15,0,0.0,0,383.15,191.575,0.0,1,2,2,5,122,Hibernating
12377,Switzerland,2010-04-29 15:34:00,2011-01-28 15:45:00,315,589,4,150,2101,128,3266.32,0,0.0,0,3266.32,816.58,0.0,2,3,5,10,235,At Risk
12378,Switzerland,2010-05-26 14:07:00,2011-08-02 10:34:00,129,562,2,301,3316,281,5416.32,0,0.0,0,5416.32,2708.16,0.0,3,2,5,10,325,High-Value Active
12379,Belgium,2010-06-23 12:49:00,2011-09-19 10:09:00,81,534,4,77,805,57,1470.22,1,1.95,1,1468.27,367.555,0.13263321135612358,4,3,4,11,434,Potential Loyalists
12380,Belgium,2010-02-15 12:05:00,2011-11-18 11:27:00,21,662,8,267,3314,154,7210.650000000001,2,39.650000000000006,13,7171.000000000001,901.3312500000001,0.549881078682227,5,4,5,14,545,Champions
12381,Norway,2011-08-12 09:57:00,2011-12-05 12:44:00,4,119,3,82,797,69,1474.81,1,41.35,25,1433.46,491.6033333333333,2.803750991653162,5,3,4,12,534,Potential Loyalists
12383,Belgium,2010-12-22 14:28:00,2011-06-08 08:02:00,184,352,5,94,1518,83,1628.56,1,11.25,3,1617.31,325.712,0.6907943213636587,2,4,4,10,244,At Risk
12384,Switzerland,2011-08-10 11:23:00,2011-11-11 08:39:00,28,121,2,25,122,25,425.27000000000004,1,19.11,5,406.16,212.63500000000002,4.49361582053754,5,2,2,9,522,Potential Loyalists
12385,Belgium,2010-11-25 15:14:00,2010-11-25 15:14:00,379,379,1,64,594,64,1668.4,0,0.0,0,1668.4,1668.4,0.0,1,1,4,6,114,At Risk
12386,Australia,2010-12-08 09:53:00,2011-01-06 12:37:00,337,366,2,10,354,10,401.9,0,0.0,0,401.9,200.95,0.0,2,2,2,6,222,Hibernating
12387,Australia,2010-10-20 16:27:00,2010-10-20 16:27:00,415,415,1,9,134,9,143.94,0,0.0,0,143.94,143.94,0.0,1,1,1,3,111,Hibernating
12388,Australia,2010-05-06 12:54:00,2011-11-24 12:30:00,15,582,8,146,2001,83,3901.11,0,0.0,0,3901.11,487.63875,0.0,5,4,5,14,545,Champions
12389,Australia,2010-02-22 10:15:00,2010-11-02 11:52:00,402,655,3,49,614,41,1433.33,0,0.0,0,1433.33,477.77666666666664,0.0,1,3,4,8,134,At Risk
12390,Belgium,2011-09-21 09:33:00,2011-09-21 09:33:00,79,79,1,31,350,31,504.84000000000003,0,0.0,0,504.84000000000003,504.84000000000003,0.0,4,1,2,7,412,Promising Customers
12391,Cyprus,2010-02-15 10:12:00,2011-11-18 12:07:00,21,662,6,267,1204,241,2724.84,1,25.6,8,2699.2400000000002,454.14000000000004,0.9395047048634049,5,4,4,13,544,Champions
12392,Australia,2010-04-27 14:04:00,2010-04-27 14:04:00,591,591,1,7,73,7,234.75000000000003,0,0.0,0,234.75000000000003,234.75000000000003,0.0,1,1,1,3,111,Hibernating
12393,Australia,2010-10-07 13:49:00,2011-09-28 15:41:00,72,428,6,107,1311,63,2399.45,1,22.7,6,2376.75,399.9083333333333,0.9460501364896121,4,4,4,12,444,Champions
12394,Denmark,2011-05-06 14:01:00,2011-10-07 08:08:00,63,217,2,25,808,25,1080.48,0,0.0,0,1080.48,540.24,0.0,4,2,3,9,423,Potential Loyalists
12395,Belgium,2010-04-16 10:16:00,2011-11-20 15:21:00,19,602,15,227,3175,144,4241.17,3,20.349999999999998,5,4220.82,282.74466666666666,0.4798204269104987,5,5,5,15,555,Champions
12396,RSA,2010-02-03 13:22:00,2010-02-03 13:22:00,674,674,1,65,591,65,931.4300000000001,0,0.0,0,931.4300000000001,931.4300000000001,0.0,1,1,3,5,113,Hibernating
12397,Belgium,2011-07-27 14:21:00,2011-11-04 09:52:00,35,135,2,124,1250,109,2214.9,0,0.0,0,2214.9,1107.45,0.0,4,2,4,10,424,Potential Loyalists
12398,Switzerland,2011-10-25 10:27:00,2011-10-25 10:27:00,45,45,1,84,1389,84,1435.66,0,0.0,0,1435.66,1435.66,0.0,4,1,4,9,414,Promising Customers
12399,Belgium,2010-03-05 08:45:00,2011-08-12 13:15:00,119,644,7,103,2190,66,1842.3,0,0.0,0,1842.3,263.18571428571425,0.0,3,4,4,11,344,Loyal Customers
12400,Australia,2010-10-21 13:45:00,2010-10-21 13:45:00,414,414,1,11,91,11,205.25,0,0.0,0,205.25,205.25,0.0,1,1,1,3,111,Hibernating
12401,Belgium,2011-02-09 13:50:00,2011-02-09 13:50:00,303,303,1,4,10,4,69.3,0,0.0,0,69.3,69.3,0.0,2,1,1,4,211,Hibernating
12402,Belgium,2010-02-07 12:41:00,2011-01-20 13:49:00,323,670,6,64,576,42,1136.9,1,12.75,1,1124.15,189.48333333333335,1.1214706658457207,2,4,3,9,243,At Risk
