customer_segment,customer_count,average_recency_days,average_frequency,gross_monetary_value,cancellation_value,net_monetary_value,average_customer_value,customer_share_pct,net_revenue_share_pct,cancellation_rate_pct
Champions,1448,26.049033149171272,16.28867403314917,12393877.077,309012.38,12084864.697,8345.90103383978,24.743677375256322,74.04474814481942,2.493266457946814
At Risk,803,359.1407222914072,5.165628891656289,1727998.173,161173.33000000002,1566824.843,1951.21400124533,13.721804511278195,9.600037219761454,9.327170162465213
Potential Loyalists,907,35.03528114663727,2.891951488423374,1081827.632,195788.83000000002,886038.802,976.8895281146638,15.498974709501026,5.42881708530125,18.097969048732896
Loyal Customers,391,86.47570332480818,7.675191815856778,873584.752,18308.71,855276.042,2187.406757033248,6.681476418318523,5.2403316637801485,2.0958138243694986
Hibernating,1575,452.1009523809524,1.2895238095238095,527079.761,15233.65,511846.11100000003,324.9816577777778,26.913875598086122,3.136114249364217,2.890198244587881
Need Attention,253,136.1304347826087,2.7786561264822134,216354.051,4736.2,211617.851,836.4341936758893,4.323308270676692,1.2965962692269704,2.189096981595228
Promising Customers,235,59.52340425531915,1.0,97890.9,3364.99,94525.91,402.237914893617,4.015721120984279,0.5791663683952842,3.437490103778799
High-Value Active,12,133.75,3.1666666666666665,47009.731,185.2,46824.531,3902.0442500000004,0.2050580997949419,0.28689693197433813,0.39396098650298594
New Customers,132,17.03787878787879,1.0,41423.15,583.81,40839.340000000004,309.38893939393944,2.2556390977443606,0.25022527934891364,1.4093809862359574
Regular Customers,96,133.27083333333334,1.0,22567.510000000002,196.79999999999998,22370.71,233.02822916666665,1.6404647983595353,0.1370667880280028,0.8720501287027234
