product_category,product_count,gross_sales,cancellation_value,estimated_net_revenue,units_sold,sales_invoices,a_class_products,product_share_pct,net_revenue_share_pct,cancellation_rate_pct,average_net_revenue_per_product
Kitchen & Dining,859,4508217.58,211291.1,4296926.48,2523629,223449,272,18.17989417989418,22.74867028680489,4.686799078583958,5002.242700814902
Home Decor & Furnishings,894,4017639.827,248119.15000000002,3769520.677,1617754,179084,190,18.92063492063492,19.95649295362544,6.1757439861221295,4216.4660816554815
"Bags, Storage & Travel",287,2657326.96,49776.24,2607550.72,1385077,125100,114,6.074074074074074,13.80482348522768,1.8731695703715738,9085.542578397213
Seasonal & Celebrations,452,1827710.55,40096.55,1787614.0,1102681,97235,112,9.566137566137565,9.463936996677782,2.1938129098176953,3954.8982300884954
Lighting & Candles,518,1809545.5,72015.55,1737529.95,1023991,74348,78,10.962962962962964,9.198783393193775,3.979759005783497,3354.304922779923
"Stationery, Crafts & Wrapping",430,1582149.73,35771.29,1546378.44,1429075,101732,100,9.100529100529101,8.186794313079265,2.260929501280514,3596.228930232558
Bathroom & Personal Care,155,1100565.51,16802.35,1083763.16,649834,56508,60,3.28042328042328,5.737629189277116,1.5267014864022042,6992.020387096773
Toys & Children,146,684969.64,16792.84,668176.8,526073,42435,46,3.0899470899470898,3.5374432835286433,2.451618147630602,4576.553424657534
Fashion & Personal Accessories,506,662528.61,11211.08,651317.53,420507,36496,34,10.708994708994709,3.448187398818644,1.692165414562248,1287.1887944664031
Garden & Outdoor,123,344781.08,5369.56,339411.52,168243,22924,21,2.6031746031746033,1.7969031576317043,1.5573824410550603,2759.4432520325204
Other / Unclear,324,308554.91,6716.85,301838.06,297218,26177,6,6.857142857142858,1.5979827765051338,2.176873477722329,931.5989506172839
Food & Beverage,31,100901.74,2236.13,98665.61,43919,6564,6,0.656084656084656,0.5223527656299298,2.2161461239419658,3182.761612903226
