description_id,classification_text,description,product_category,confidence,classification_method,llm_product_category,llm_confidence,rule_category,qa_rule_category
1,*BOOMBOX IPOD CLASSIC,*BOOMBOX IPOD CLASSIC,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
2,*USB OFFICE GLITTER LAMP,*USB OFFICE GLITTER LAMP,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
3,*USB OFFICE MIRROR BALL,*USB OFFICE MIRROR BALL,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
4,10 COLOUR SPACEBOY PEN,10 COLOUR SPACEBOY PEN,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
5,12 ASS ZINC CHRISTMAS DECORATIONS,12 ASS ZINC CHRISTMAS DECORATIONS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
6,12 COLOURED PARTY BALLOONS,12 COLOURED PARTY BALLOONS,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
7,12 DAISY PEGS IN WOOD BOX,12 DAISY PEGS IN WOOD BOX,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
8,12 EGG HOUSE PAINTED WOOD,12 EGG HOUSE PAINTED WOOD,Kitchen & Dining,High,Manual QA correction,Other / Unclear,Low,,
9,12 HANGING EGGS HAND PAINTED,12 HANGING EGGS HAND PAINTED,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
10,12 IVORY ROSE PEG PLACE SETTINGS,12 IVORY ROSE PEG PLACE SETTINGS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
11,12 MESSAGE CARDS WITH ENVELOPES,12 MESSAGE CARDS WITH ENVELOPES,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
12,12 MINI TOADSTOOL PEGS,12 MINI TOADSTOOL PEGS,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
13,12 PENCIL SMALL TUBE WOODLAND,12 PENCIL SMALL TUBE WOODLAND,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
14,12 PENCILS SMALL TUBE POSY,12 PENCILS SMALL TUBE POSY,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
