stock_code,description,classification_text,description_id,product_category,confidence,classification_method,llm_product_category,llm_confidence,rule_category,qa_rule_category,gross_sales,cancellation_value,estimated_net_revenue,units_sold,sales_invoices,known_customers,abc_class
22423,REGENCY CAKESTAND 3 TIER,REGENCY CAKESTAND 3 TIER,3306,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,330590.32,16545.3,314045.02,26478,3918,1314,A
85123A,WHITE HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,4471,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,261168.73,9387.1,251781.63,94719,5464,1490,A
85099B,JUMBO BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,2110,"Bags, Storage & Travel",High,Keyword rule override,Kitchen & Dining,High,"Bags, Storage & Travel",,182680.98,2168.82,180512.16,97176,4013,978,A
47566,PARTY BUNTING,PARTY BUNTING,2774,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,,148318.28,1238.5500000000002,147079.73,28200,2674,894,A
84879,ASSORTED COLOUR BIRD ORNAMENT,ASSORTED COLOUR BIRD ORNAMENT,246,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,129324.49,774.07,128550.42,80082,2807,1010,A
22086,PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,2748,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,,117760.29,1461.7,116298.59,35084,2018,896,A
79321,CHILLI LIGHTS,CHILLI LIGHTS,880,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,80540.88,635.75,79905.13,15841,1135,304,A
22197,SMALL POPCORN HOLDER,SMALL POPCORN HOLDER,3980,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,79520.2,616.58,78903.62,88499,2322,601,A
22386,JUMBO BAG PINK POLKADOT,JUMBO BAG PINK POLKADOT,2108,"Bags, Storage & Travel",High,Keyword rule override,Kitchen & Dining,High,"Bags, Storage & Travel",,76324.62,866.98,75457.64,39437,2245,601,A
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,ROTATING SILVER ANGELS T-LIGHT HLDR,3421,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,71300.4,330.45000000000005,70969.95,31409,756,300,A
20725,LUNCH BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,2319,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,71106.29,1383.75,69722.54,40317,3056,845,A
85099F,JUMBO BAG STRAWBERRY,JUMBO BAG STRAWBERRY,2113,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,69002.13,512.24,68489.89,37061,1855,549,A
23084,RABBIT NIGHT LIGHT,RABBIT NIGHT LIGHT,3175,Lighting & Candles,High,LLM only,Lighting & Candles,High,,,66870.03,208.4,66661.63,30739,994,450,A
48138,DOORMAT UNION FLAG,DOORMAT UNION FLAG,1207,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,67010.31,359.41,66650.9,10077,1664,678,A
20685,DOORMAT RED RETROSPOT,DOORMAT RED RETROSPOT,1203,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,66417.47,632.53,65784.94,9783,1725,626,A
21137,BLACK RECORD COVER FRAME,BLACK RECORD COVER FRAME,442,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,65189.29,82.29,65107.0,18739,634,198,A
21931,JUMBO STORAGE BAG SUKI,JUMBO STORAGE BAG SUKI,2121,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,61537.55,710.63,60826.920000000006,29182,2329,546,A
21621,VINTAGE UNION JACK BUNTING,VINTAGE UNION JACK BUNTING,4374,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,60286.04,544.0,59742.04,6900,1292,583,A
21843,RED RETROSPOT CAKE STAND,RED RETROSPOT CAKE STAND,3250,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,64918.3,5270.25,59648.05,6128,1527,599,A
