invoice_month,New Customer,Returning Customer,active_customers,returning_customer_share_pct
2009-12,951,0,951,0.0
2010-01,368,333,701,47.50356633380884
2010-02,375,396,771,51.36186770428015
2010-03,441,610,1051,58.03996194100856
2010-04,294,645,939,68.69009584664538
2010-05,255,710,965,73.57512953367875
2010-06,267,767,1034,74.1779497098646
2010-07,185,739,924,79.97835497835499
2010-08,163,747,910,82.08791208791209
2010-09,239,897,1136,78.9612676056338
2010-10,375,1117,1492,74.86595174262735
2010-11,326,1280,1606,79.7011207970112
2010-12,76,808,884,91.4027149321267
2011-01,72,667,739,90.25710419485792
2011-02,125,632,757,83.48745046235139
2011-03,179,794,973,81.6032887975334
2011-04,106,747,853,87.57327080890973
2011-05,111,943,1054,89.46869070208729
2011-06,108,882,990,89.0909090909091
2011-07,101,845,946,89.32346723044398
2011-08,107,826,933,88.53161843515541
2011-09,188,1071,1259,85.06751389992058
2011-10,221,1140,1361,83.76193975018369
2011-11,191,1469,1660,88.49397590361446
2011-12,28,586,614,95.43973941368078
