month,gross_sales,cancellation_value,estimated_net_revenue,sales_invoices,units_sold,cancellation_rate_pct,period_status
2009-12-01 00:00:00,797901.16,19558.08,778343.08,1666,425218,2.4511908216802194,Complete month
2010-01-01 00:00:00,612297.422,7465.63,604831.792,1049,390414,1.2192816320562592,Complete month
2010-02-01 00:00:00,537909.676,12575.44,525334.236,1189,381626,2.3378348747160294,Complete month
2010-03-01 00:00:00,761705.981,9603.85,752102.131,1647,525043,1.2608342640806964,Complete month
2010-04-01 00:00:00,646340.932,10025.26,636315.672,1435,366067,1.5510792375439406,Complete month
2010-05-01 00:00:00,643492.03,37192.89,606299.14,1484,395438,5.779852471521675,Complete month
2010-06-01 00:00:00,696583.1900000001,26373.46,670209.73,1612,406238,3.7861177786963243,Complete month
2010-07-01 00:00:00,632994.32,17132.73,615861.59,1507,337556,2.706616703922399,Complete month
2010-08-01 00:00:00,674037.72,12397.6,661640.12,1402,471931,1.8393035926832109,Complete month
2010-09-01 00:00:00,869243.121,27686.420000000002,841556.701,1789,583367,3.1851181023036244,Complete month
2010-10-01 00:00:00,1094435.98,25451.07,1068984.91,2244,619511,2.325496462570611,Complete month
2010-11-01 00:00:00,1429700.7820000001,35098.979999999996,1394601.802,2719,724265,2.4549878157652145,Complete month
2010-12-01 00:00:00,775638.36,17547.86,758090.5,1550,357529,2.262376502368965,Complete month
2011-01-01 00:00:00,670380.24,91525.05,578855.19,1081,386738,13.652707006996506,Complete month
2011-02-01 00:00:00,507799.87,8335.52,499464.35,1093,282627,1.6414970724588802,Complete month
2011-03-01 00:00:00,689833.51,10504.3,679329.21,1440,376182,1.522729738078395,Complete month
2011-04-01 00:00:00,515377.991,33316.06,482061.931,1235,307651,6.464393237933204,Complete month
2011-05-01 00:00:00,739953.0,8948.23,731004.77,1668,394653,1.2092970769765106,Complete month
2011-06-01 00:00:00,698588.98,13713.84,684875.14,1524,388064,1.963077058558811,Complete month
2011-07-01 00:00:00,688219.341,11407.26,676812.081,1452,399291,1.6575035487123864,Complete month
2011-08-01 00:00:00,724216.5,22926.57,701289.93,1339,420695,3.1657066636841336,Complete month
2011-09-01 00:00:00,1028320.381,16980.64,1011339.741,1818,568701,1.6512985946546166,Complete month
2011-10-01 00:00:00,1103314.25,41613.03,1061701.22,2005,619597,3.7716389505528456,Complete month
2011-11-01 00:00:00,1452115.98,24991.44,1427124.54,2751,746952,1.7210360841838541,Complete month
2011-12-01 00:00:00,614490.92,174091.36000000002,440399.56,816,312647,28.330989821623405,Partial month
