stock_code,gross_sales,units_sold,sales_invoices,known_customers,cancellation_value,cancellation_units,cancellation_invoices,description,estimated_net_revenue,cancellation_rate_pct,net_revenue_share_pct,abc_class
22423,330590.32,26478,3918,1314,16545.3,1450.0,341.0,REGENCY CAKESTAND 3 TIER,314045.02,5.0047744894647845,1.6626085292464783,A
85123A,261168.73,94719,5464,1490,9387.1,3637.0,134.0,WHITE HANGING HEART T-LIGHT HOLDER,251781.63,3.5942664345766047,1.3329753980673886,A
85099B,182680.98,97176,4013,978,2168.82,1213.0,83.0,JUMBO BAG RED RETROSPOT,180512.16,1.1872171914120453,0.9556625252287235,A
47566,148318.28,28200,2674,894,1238.5500000000002,285.0,23.0,PARTY BUNTING,147079.73,0.8350622728364975,0.778665471521469,A
84879,129324.49,80082,2807,1010,774.07,511.0,19.0,ASSORTED COLOUR BIRD ORNAMENT,128550.42,0.598548658494613,0.6805681068600199,A
22086,117760.29000000001,35084,2018,896,1461.7,590.0,16.0,PAPER CHAIN KIT 50'S CHRISTMAS,116298.59000000001,1.24125033999152,0.615704804595657,A
79321,80540.88,15841,1135,304,635.75,145.0,21.0,CHILLI LIGHTS,79905.13,0.7893506999178554,0.42303154709649166,A
22197,79520.2,88499,2322,601,616.58,804.0,90.0,SMALL POPCORN HOLDER,78903.62,0.7753753134423707,0.4177293803303202,A
22386,76324.62,39437,2245,601,866.98,482.0,25.0,JUMBO BAG PINK POLKADOT,75457.64,1.1359113219299357,0.39948576755272297,A
84347,71300.4,31409,756,300,330.45000000000005,9381.0,6.0,ROTATING SILVER ANGELS T-LIGHT HLDR,70969.95,0.46346163555884684,0.37572716227181724,A
20725,71106.29,40317,3056,845,1383.75,931.0,79.0,LUNCH BAG RED RETROSPOT,69722.54,1.9460303722778955,0.3691231584717654,A
85099F,69002.13,37061,1855,549,512.24,283.0,26.0,JUMBO BAG STRAWBERRY,68489.89,0.7423538954522129,0.3625972966587819,A
23084,66870.03,30739,994,450,208.4,108.0,15.0,RABBIT NIGHT LIGHT,66661.63,0.31164932930342637,0.35291817272400283,A
48138,67010.31,10077,1664,678,359.40999999999997,51.0,13.0,DOORMAT UNION FLAG,66650.9,0.5363503019162275,0.3528613662523739,A
20685,66417.47,9783,1725,626,632.53,91.0,12.0,DOORMAT RED RETROSPOT,65784.94,0.9523548548296102,0.3482768245774692,A
21137,65189.29,18739,634,198,82.29,23.0,7.0,BLACK RECORD COVER FRAME,65107.0,0.12623239185455157,0.34468769322834814,A
21931,61537.55,29182,2329,546,710.63,390.0,34.0,JUMBO STORAGE BAG SUKI,60826.920000000006,1.1547908553395447,0.3220282111137862,A
21621,60286.04,6900,1292,583,544.0,64.0,10.0,VINTAGE UNION JACK BUNTING,59742.04,0.9023647929105976,0.3162846691808209,A
21843,64918.299999999996,6128,1527,599,5270.25,587.0,154.0,RED RETROSPOT CAKE STAND,59648.049999999996,8.118280977782845,0.31578706990138034,A
15056N,60145.85,11459,1149,347,840.55,155.0,21.0,EDWARDIAN PARASOL NATURAL,59305.299999999996,1.3975195296101062,0.31397249225452184,A
85099C,59142.78,30657,1878,506,570.88,313.0,26.0,JUMBO BAG BAROQUE BLACK WHITE,58571.9,0.9652572976786008,0.3100897460949128,A
22114,59189.14,11677,1583,626,795.2,220.0,13.0,HOT WATER BOTTLE TEA AND SYMPATHY,58393.94,1.3434897009823086,0.3091475951451391,A
22910,58652.700000000004,18634,1427,701,1185.6000000000001,448.0,17.0,PAPER CHAIN KIT VINTAGE CHRISTMAS,57467.100000000006,2.0213903196272294,0.30424074424444086,A
22112,57981.94,11065,1721,631,687.48,156.0,13.0,CHOCOLATE HOT WATER BOTTLE,57294.46,1.1856795409053231,0.30332675829271605,A
22411,57318.71,27281,2192,658,791.52,441.0,22.0,JUMBO SHOPPER VINTAGE RED PAISLEY,56527.19,1.3809103519601191,0.29926469850831017,A
82484,56745.73,9831,1176,451,325.0,49.0,24.0,WOOD BLACK BOARD ANT WHITE FINISH,56420.73,0.572730318210727,0.2987010808969767,A
22470,53506.130000000005,17773,1952,827,1028.7,396.0,22.0,HEART OF WICKER LARGE,52477.43000000001,1.9225834497841647,0.2778245702190566,A
20914,52508.560000000005,18670,2030,647,1068.8,400.0,84.0,SET/5 RED RETROSPOT LID GLASS BOWLS,51439.76,2.0354776440260403,0.27233096617291314,A
21212,51825.15,94884,3118,1115,549.66,1110.0,26.0,PACK OF 72 RETROSPOT CAKE CASES,51275.49,1.060604744993502,0.27146129244556244,A
