product_category,definition
Kitchen & Dining,"Tableware, drinkware, cookware, baking and serving products."
Home Decor & Furnishings,"Decorations, ornaments, frames, mirrors and household furnishings."
Lighting & Candles,"Candles, holders, lanterns, lamps and decorative lighting."
"Bags, Storage & Travel","Shopping bags, storage products, containers and travel accessories."
Seasonal & Celebrations,"Christmas, Easter, birthday, wedding and party products."
"Stationery, Crafts & Wrapping","Stationery, cards, craft materials, wrapping and packaging supplies."
Toys & Children,"Toys, games and child-oriented products."
Fashion & Personal Accessories,"Jewellery, clothing and personal fashion accessories."
Garden & Outdoor,"Gardening products, outdoor decorations and accessories."
Bathroom & Personal Care,"Bathroom, toiletry, cosmetic and personal-care products."
Food & Beverage,"Food, tea, coffee, confectionery and consumable beverages."
Other / Unclear,Products that cannot be confidently assigned elsewhere.
