customer_id,first_order_date,second_order_date,days_to_second_purchase
12346,2010-03-02 13:08:00,2010-06-28 13:53:00,118
12347,2010-10-31 14:20:00,2010-12-07 14:57:00,37
12348,2010-09-27 14:59:00,2010-12-16 19:09:00,80
12349,2010-04-29 13:20:00,2010-10-28 08:23:00,181
12352,2010-11-12 10:20:00,2010-11-29 10:07:00,16
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,204
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,353
12356,2010-10-11 09:42:00,2010-11-11 14:23:00,31
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,355
12358,2009-12-08 07:59:00,2010-06-07 12:28:00,181
12359,2009-12-05 13:32:00,2009-12-16 15:24:00,11
12360,2010-02-22 09:32:00,2010-05-25 09:55:00,92
12361,2010-01-26 14:37:00,2010-05-09 15:33:00,103
12362,2011-02-17 10:30:00,2011-04-28 09:12:00,69
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,132
12364,2011-08-19 15:24:00,2011-09-22 16:07:00,34
12369,2010-03-08 08:09:00,2010-09-16 14:34:00,192
12370,2010-02-09 09:41:00,2010-03-25 10:28:00,44
12371,2010-03-04 18:23:00,2010-03-04 18:25:00,0
12372,2011-02-16 12:46:00,2011-05-11 10:43:00,83
12373,2010-02-04 12:08:00,2010-03-25 13:49:00,49
12374,2010-04-30 14:01:00,2010-10-14 10:16:00,166
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,87
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,28
12377,2010-04-29 15:34:00,2010-11-23 19:24:00,208
12378,2010-05-26 14:07:00,2011-08-02 10:34:00,432
12379,2010-06-23 12:49:00,2010-10-13 14:46:00,112
12380,2010-02-15 12:05:00,2010-06-29 15:17:00,134
12381,2011-08-12 09:57:00,2011-11-06 13:36:00,86
12383,2010-12-22 14:28:00,2011-01-12 14:10:00,20
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,92
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,29
12388,2010-05-06 12:54:00,2010-09-20 12:41:00,136
12389,2010-02-22 10:15:00,2010-05-21 15:12:00,88
12391,2010-02-15 10:12:00,2010-02-22 10:13:00,7
12393,2010-10-07 13:49:00,2010-11-22 16:10:00,46
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,153
12395,2010-04-16 10:16:00,2010-08-02 12:37:00,108
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,99
12399,2010-03-05 08:45:00,2010-07-08 09:13:00,125
12402,2010-02-07 12:41:00,2010-04-18 12:04:00,69
12403,2010-07-06 11:39:00,2011-10-21 10:51:00,471
12406,2010-01-11 14:04:00,2010-04-22 18:41:00,101
12407,2011-03-20 13:21:00,2011-04-18 12:25:00,28
12408,2010-07-29 13:27:00,2010-09-15 13:16:00,47
12409,2010-05-23 15:21:00,2010-06-08 13:40:00,15
12410,2010-07-25 13:26:00,2011-02-04 10:38:00,193
12412,2010-06-18 13:22:00,2010-08-09 14:26:00,52
12413,2010-11-02 13:26:00,2011-01-06 16:12:00,65
