reactivation_priority_rank,customer_id,primary_country,recency_days,frequency,gross_monetary_value,cancellation_value,net_monetary_value,average_order_value,r_score,f_score,m_score
1,16754,United Kingdom,372,29,65500.07,10807.25,54692.82,2258.6231034482757,1,5,5
2,13093,United Kingdom,275,55,54144.25,860.95,53283.3,984.4409090909091,2,5,5
3,17850,United Kingdom,372,155,51208.87,801.1,50407.770000000004,330.3798064516129,1,5,5
4,13902,Denmark,632,5,34023.26,3648.0,30375.260000000002,6804.652,1,4,5
5,12482,Sweden,576,27,21941.72,0.0,21941.72,812.6562962962963,1,5,5
6,15749,United Kingdom,235,3,44534.3,22998.4,21535.9,14844.766666666668,2,3,5
7,15808,United Kingdom,306,21,17180.25,141.3,17038.95,818.1071428571429,2,5,5
8,13564,United Kingdom,354,36,15880.22,267.12,15613.099999999999,441.1172222222222,2,5,5
9,17448,United Kingdom,529,41,14448.67,73.66,14375.01,352.4065853658537,1,5,5
10,18087,United Kingdom,290,16,13908.720000000001,345.09999999999997,13563.62,869.2950000000001,2,5,5
11,13952,United Kingdom,217,14,12823.521,32.629999999999995,12790.891000000001,915.9657857142857,2,5,5
12,13687,United Kingdom,438,1,11880.84,0.0,11880.84,11880.84,1,1,5
13,14134,United Kingdom,382,15,11123.35,0.0,11123.35,741.5566666666667,1,5,5
14,18052,United Kingdom,564,1,10877.18,0.0,10877.18,10877.18,1,1,5
15,15032,United Kingdom,256,8,11010.05,495.0,10515.05,1376.25625,2,4,5
16,14828,United Kingdom,196,13,9839.460000000001,36.0,9803.460000000001,756.8815384615385,2,5,5
17,14091,United Kingdom,654,2,9530.08,0.0,9530.08,4765.04,1,2,5
18,14063,United Kingdom,686,7,9471.5,0.0,9471.5,1353.0714285714287,1,4,5
19,14439,Greece,319,5,9443.04,0.0,9443.04,1888.6080000000002,2,4,5
20,12590,Germany,211,1,9341.26,10.780000000000001,9330.48,9341.26,2,1,5
